pip_value estimasi: 9.0 (override dengan --pipval)

Backtest: USDJPY | step=4 | trail=OFF
CSV: ../data/USDJPY_GMT+0_NO-DST_M15.csv
  139,666 candle M15 | 2020-01-01 22:00:00 s/d 2025-08-11 23:45:00
Estimasi 34,854 iterasi sinyal. Ini mungkin butuh beberapa menit...

Resampling ke H4 dan D1... H4=9,025 bars | D1=1,750 bars
    0.9% | bar=1,458/139,666 | trades=10 | equity=$1,040.04 | ETA=15.1min
    1.5% | bar=2,302/139,666 | trades=20 | equity=$1,078.29 | ETA=14.7min
    2.3% | bar=3,442/139,666 | trades=30 | equity=$1,146.29 | ETA=12.5min
    2.3% | bar=3,446/139,666 | trades=30 | equity=$1,146.29 | ETA=12.5min
    2.3% | bar=3,450/139,666 | trades=30 | equity=$1,146.29 | ETA=12.5min
    2.3% | bar=3,454/139,666 | trades=30 | equity=$1,146.29 | ETA=12.5min
    2.3% | bar=3,514/139,666 | trades=30 | equity=$1,146.29 | ETA=12.7min
    2.3% | bar=3,518/139,666 | trades=30 | equity=$1,146.29 | ETA=12.7min
    2.7% | bar=4,034/139,666 | trades=40 | equity=$1,158.60 | ETA=13.0min
    3.2% | bar=4,682/139,666 | trades=50 | equity=$1,224.62 | ETA=12.7min
    3.9% | bar=5,682/139,666 | trades=60 | equity=$1,334.53 | ETA=13.1min
    3.9% | bar=5,694/139,666 | trades=60 | equity=$1,334.53 | ETA=13.1min
    4.0% | bar=5,758/139,666 | trades=60 | equity=$1,334.53 | ETA=13.2min
    4.7% | bar=6,774/139,666 | trades=70 | equity=$1,481.11 | ETA=13.9min
    4.7% | bar=6,778/139,666 | trades=70 | equity=$1,481.11 | ETA=13.9min
    4.7% | bar=6,786/139,666 | trades=70 | equity=$1,481.11 | ETA=13.9min
    4.9% | bar=7,046/139,666 | trades=80 | equity=$1,339.17 | ETA=13.9min
    5.4% | bar=7,722/139,666 | trades=90 | equity=$1,326.70 | ETA=14.3min
    5.4% | bar=7,726/139,666 | trades=90 | equity=$1,326.70 | ETA=14.3min
    5.4% | bar=7,730/139,666 | trades=90 | equity=$1,326.70 | ETA=14.3min
    6.2% | bar=8,838/139,666 | trades=100 | equity=$1,307.27 | ETA=14.6min
    6.5% | bar=9,282/139,666 | trades=110 | equity=$1,292.00 | ETA=14.6min
    7.1% | bar=10,202/139,666 | trades=120 | equity=$1,315.76 | ETA=14.8min
    7.6% | bar=10,782/139,666 | trades=130 | equity=$1,292.98 | ETA=14.8min
    8.4% | bar=11,894/139,666 | trades=140 | equity=$1,349.16 | ETA=14.9min
    8.4% | bar=12,010/139,666 | trades=150 | equity=$1,220.52 | ETA=14.9min
    9.1% | bar=12,966/139,666 | trades=160 | equity=$1,148.91 | ETA=15.1min
    9.4% | bar=13,358/139,666 | trades=170 | equity=$1,038.52 | ETA=15.2min
   10.0% | bar=14,218/139,666 | trades=180 | equity=$1,159.80 | ETA=15.1min
   10.7% | bar=15,222/139,666 | trades=190 | equity=$1,105.23 | ETA=15.0min
   11.0% | bar=15,578/139,666 | trades=200 | equity=$1,083.98 | ETA=14.8min
   11.6% | bar=16,446/139,666 | trades=210 | equity=$1,127.61 | ETA=14.7min
   11.7% | bar=16,494/139,666 | trades=220 | equity=$1,021.62 | ETA=14.7min
   12.2% | bar=17,238/139,666 | trades=230 | equity=$1,027.42 | ETA=14.7min
   12.2% | bar=17,242/139,666 | trades=230 | equity=$1,027.42 | ETA=14.7min
   12.2% | bar=17,246/139,666 | trades=230 | equity=$1,027.42 | ETA=14.7min
   12.2% | bar=17,250/139,666 | trades=230 | equity=$1,027.42 | ETA=14.7min
   12.2% | bar=17,254/139,666 | trades=230 | equity=$1,027.42 | ETA=14.7min
   12.6% | bar=17,830/139,666 | trades=240 | equity=$978.47 | ETA=14.6min
   12.8% | bar=18,158/139,666 | trades=250 | equity=$884.58 | ETA=14.6min
   12.8% | bar=18,162/139,666 | trades=250 | equity=$884.58 | ETA=14.6min
   12.9% | bar=18,166/139,666 | trades=250 | equity=$884.58 | ETA=14.6min
   12.9% | bar=18,174/139,666 | trades=250 | equity=$884.58 | ETA=14.6min
   12.9% | bar=18,178/139,666 | trades=250 | equity=$884.58 | ETA=14.6min
   12.9% | bar=18,182/139,666 | trades=250 | equity=$884.58 | ETA=14.6min
   12.9% | bar=18,186/139,666 | trades=250 | equity=$884.58 | ETA=14.6min
